faculty,color,acronym,rgb
คณะพาณิชยศาสตร์และการบัญชี,สีฟ้า,พศ.,#16B0FE
คณะรัฐศาสตร์,สีดำ,ร.,#000000
คณะครุศาสตร์,สีแสด,ค.,#FB2D08
คณะจิตวิทยา,สีน้ำเงินแก่อมม่วง,จ.,#0000C1
คณะทันตแพทยศาสตร์,สีม่วง,ท.,#CFB0CE
คณะนิติศาสตร์,สีขาว,น.,#FFFFFF
คณะนิเทศศาสตร์,สีน้ำเงิน,นศ.,#000077
คณะพยาบาลศาสตร์,สีแดงชาด,พย.,#B3000B
คณะแพทยศาสตร์,สีเขียวแก่,พ.,#0B5401
คณะเภสัชศาสตร์,สีเขียวมะกอก,ภ.,#597E1B
คณะวิทยาศาสตร์,สีเหลือง,วท.,#FFFF0B
คณะวิทยาศาสตร์การกีฬา,สีส้ม,วก.,#FD9408
คณะวิศวกรรมศาสตร์,สีเลือดหมู,วศ.,#760001
คณะศิลปกรรมศาสตร์,สีแดงเลือดนก,ศป.,#FB0006
คณะเศรษฐศาสตร์,สีทอง,ศ.,#FED009
คณะสถาปัตยกรรมศาสตร์,สีน้ำตาล,สถ.,#921920
คณะสหเวชศาสตร์,สีม่วงคราม,สว.,#39006F
คณะสัตวแพทยศาสตร์,สีฟ้าหม่น,สพ.,#77C3F8
คณะอักษรศาสตร์,สีเทา,อ.,#6D6D6D
สำนักวิชาทรัพยากรการเกษตร,สีแดงอิฐ,ทก.,#DA2C28
วิทยาลัยประชากรศาสตร์,สีม่วงสดใส,ปก.,
วิทยาลัยปิโตรเลียมและปิโตรเคมี,สีทองมุก,ปป.,
วิทยาลัยวิทยาศาสตร์สาธารณสุข,สีฟ้าน้ำทะเล,วส.,
บัณฑิตวิทยาลัย,สีบานเย็น,บ.,#FB0081
สถาบันบัณฑิตบริหารธุรกิจศศินทร์แห่งจุฬาลงกรณ์มหาวิทยาลัย,สีฟ้า,ศศ.,#77C3E5
วิทยาลัยพยาบาลสภากาชาดไทย*,สีแดงชาด,-,#B3000B
วิทยาลัยพยาบาลตำรวจ*,สีแดงชาด,-,#B3000B
