year,from,to,type,from_type,to_type,comment
2477,รัฎฐประศาสนศาสตร์,ธรรมศาสตร์,change,,external,
2527,หน่วยงานวิชาการทางด้านศิลปกรรมศาสตร์,ศิลปกรรมศาสตร์,change,,,
2486,แผนกอิสระสัตวแพทยศาสตร์,สัตวแพทยศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),change,,external,
2497,สัตวแพทยศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),เกษตรศาสตร์,change,external,external,
2510,เกษตรศาสตร์,สัตวแพทย์,change,external,,
2486,เภสัชศาสตร์,เภสัชศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),change,,external,
2514,เภสัชศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),เภสัชศาสตร์ (ใหม่),change,external,,
2510,แพทยศาสตร์ (โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย),แพทยศาสตร์,change,external,,
2486,แผนกอิสระทันตแพทยศาสตร์,ทันตแพทยศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),change,,external,
2515,ทันตแพทยศาสตร์ มหาวิทยาลัยแพทยศาสตร์ (มหิดล ในปัจจุบัน),ทันตแพทยศาสตร์,change,external,,
2486,อักษรศาสตร์และวิทยาศาสตร์,อักษรศาสตร์,change,,,
2553,สำนักวิชาวิทยาศาสตร์การกีฬา,วิทยาศาสตร์การกีฬา,change,,,
2475,,การปฏิวัติสยาม,context,,,
2563,วิศวกรรมศาสตร์,วิศวกรรมศาสตร์ (ปัจจุบัน),end,,,
2563,สถาปัตยกรรมศาสตร์,สถาปัตยกรรมศาสตร์ (ปัจจุบัน),end,,,
2563,นิติศาสตร์,นิติศาสตร์ (ปัจจุบัน),end,,,
2563,รัฐศาสตร์,รัฐศาสตร์ (ปัจจุบัน),end,,,
2563,ศิลปกรรมศาสตร์,ศิลปกรรมศาสตร์ (ปัจจุบัน),end,,,
2563,สัตวแพทย์,สัตวแพทย์ (ปัจจุบัน),end,,,
2563,แพทยศาสตร์ (ศิริราช ในปัจจุบัน),แพทยศาสตร์ (ศิริราช),end,,external,
2563,เภสัชศาสตร์ (ใหม่),เภสัชศาสตร์ (ปัจจุบัน),end,,,
2563,แพทยศาสตร์,แพทยศาสตร์ (ปัจจุบัน),end,,,
2563,สหเวชศาสตร์,สหเวชศาสตร์ (ปัจจุบัน),end,,,
2563,ทันตแพทยศาสตร์,ทันตแพทยศาสตร์ (ปัจจุบัน),end,,,
2563,เศรษฐศาสตร์,เศรษฐศาสตร์ (ปัจจุบัน),end,,,
2563,พาณิชยศาสตร์และการบัญชี,พาณิชยศาสตร์และการบัญชี (ปัจจุบัน),end,,,
2563,วิชาการหนังสือพิมพ์ ธรรมศาสตร์,วารสารศาสตร์ฯ ธรรมศาสตร์,end,,external,
2563,นิเทศศาสตร์,นิเทศศาสตร์ (ปัจจุบัน),end,,,
2563,วิทยาศาสตร์,วิทยาศาสตร์ (ปัจจุบัน),end,,,
2563,อักษรศาสตร์,อักษรศาสตร์ (ปัจจุบัน),end,,,
2563,พยาบาลศาสตร์,พยาบาลศาสตร์ (ปัจจุบัน),end,,,
2563,จิตวิทยา,จิตวิทยา (ปัจจุบัน),end,,,
2563,วิทยาศาสตร์การกีฬา,วิทยาศาสตร์การกีฬา (ปัจจุบัน),end,,,
2563,ครุศาสตร์,ครุศาสตร์ (ปัจจุบัน),end,,,
2475,แผนกสถาปัตยกรรม วิทยาลัยเพาะช่าง,วิศวกรรมศาสตร์,merge,external,,
2476,โรงเรียนกฎหมาย กระทรวงยุติธรรม,รัฎฐประศาสนศาสตร์,merge,external,,
2482,วิศวกรรมศาสตร์,สถาปัตยกรรมศาสตร์,split,,,
2515,รัฐศาสตร์,นิติศาสตร์,split,,,
2477,แพทยศาสตร์ (ศิริราช ในปัจจุบัน),เภสัชศาสตร์,split,,,
2534,แพทยศาสตร์,สหเวชศาสตร์,split,,,
2483,อักษรศาสตร์และวิทยาศาสตร์,พาณิชยศาสตร์และการบัญชี,split,,,
2513,พาณิชยศาสตร์และการบัญชี,เศรษฐศาสตร์,split,,,
2513,รัฐศาสตร์,เศรษฐศาสตร์,split,,,
2497,อักษรศาสตร์และวิทยาศาสตร์,วิชาการหนังสือพิมพ์ ธรรมศาสตร์,split,,external,
2517,รัฐศาสตร์,นิเทศศาสตร์,split,,,
2486,อักษรศาสตร์และวิทยาศาสตร์,วิทยาศาสตร์,split,,,
2500,อักษรศาสตร์และวิทยาศาสตร์,ครุศาสตร์,split,,,
2531,ครุศาสตร์,พยาบาลศาสตร์,split,,,
2539,ครุศาสตร์,จิตวิทยา,split,,,
2541,ครุศาสตร์,สำนักวิชาวิทยาศาสตร์การกีฬา,split,,,
2459,,แพทยศาสตร์ (ศิริราช ในปัจจุบัน),start,,,
2459,,รัฎฐประศาสนศาสตร์,start,,,ตึกคณะอักษรฯ ในปัจจุบัน
2459,,อักษรศาสตร์และวิทยาศาสตร์,start,,,สนามศุภฯ ในปัจจุบัน
2459,,วิศวกรรมศาสตร์,start,,,ตึกคณะอักษรฯ ในปัจจุบัน
2440,,โรงเรียนกฎหมาย กระทรวงยุติธรรม,start,,,
2473,,แผนกสถาปัตยกรรม วิทยาลัยเพาะช่าง,start,external,,
2491,,รัฐศาสตร์,start,,,
2517,,หน่วยงานวิชาการทางด้านศิลปกรรมศาสตร์,start,,,
2478,,แผนกอิสระสัตวแพทยศาสตร์,start,,,
2490,,แพทยศาสตร์ (โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย),start,external,,
2483,,แผนกอิสระทันตแพทยศาสตร์,start,,,
